magnitude,cdi,mmi,sig,dmin,latitude,longitude,Year,Month,tsunami
7.4,0,7.0,842.0,0.0,-13.093,166.497,2009,10,0
7.7,4,7.0,916.0,0.0,-13.006,166.51,2009,10,0
6.6,7,7.0,787.0,0.0,-2.482,101.524,2009,10,0
7.6,8,8.0,1639.0,0.0,-0.72,99.867,2009,9,0
7.0,7,7.0,1175.0,0.0,-7.782,107.297,2009,9,0
6.7,5,6.0,753.0,0.0,-1.479,99.49,2009,8,0
6.9,5,7.0,1202.0,0.0,29.039,-112.903,2009,8,0
7.8,6,8.0,1165.0,0.0,-45.762,166.562,2009,7,0
6.7,5,5.0,693.0,0.0,-5.157,153.782,2009,6,0
7.2,3,7.0,802.0,0.0,3.886,126.387,2009,2,0
7.4,7,7.0,846.0,0.0,-0.691,133.305,2009,1,0
6.6,5,4.0,765.0,0.0,36.419,70.743,2009,1,0
7.7,5,7.0,918.0,0.0,-0.414,132.885,2009,1,0
7.4,9,7.0,848.0,0.0,1.271,122.091,2008,11,0
6.7,5,6.0,731.0,0.0,14.423,-92.364,2008,10,0
6.7,0,6.0,691.0,0.0,39.533,73.824,2008,10,0
6.6,0,6.0,670.0,0.0,1.885,127.363,2008,9,0
6.9,0,6.0,732.0,0.0,-13.501,166.967,2008,9,0
6.7,4,7.0,692.0,0.0,30.901,83.52,2008,8,0
6.8,8,7.0,1046.0,0.0,39.802,141.464,2008,7,0
6.9,7,8.0,888.0,0.0,39.03,140.881,2008,6,0
7.2,0,7.0,798.0,0.0,35.49,81.467,2008,3,0
6.7,5,6.0,696.0,0.0,-2.245,99.808,2008,2,0
6.6,4,6.0,674.0,0.0,-2.332,99.891,2008,2,0
7.2,4,7.0,832.0,0.0,-2.486,99.972,2008,2,0
6.5,4,6.0,654.0,0.0,-2.405,99.931,2008,2,0
7.4,5,7.0,914.0,0.0,2.768,95.964,2008,2,0
6.5,7,6.0,723.0,0.0,16.357,-94.304,2008,2,0
6.7,5,7.0,704.0,0.0,-22.954,-70.182,2007,12,0
7.4,7,7.0,1542.0,0.0,14.944,-61.274,2007,11,0
6.6,3,6.0,672.0,0.0,-10.95,162.149,2007,11,0
6.5,5,7.0,653.0,0.0,-8.224,118.467,2007,11,0
6.5,7,7.0,657.0,0.0,-8.292,118.37,2007,11,0
6.8,6,6.0,722.0,0.0,-5.757,147.098,2007,11,0
6.8,7,6.0,790.0,0.0,-2.312,-77.838,2007,11,0
6.8,6,7.0,716.0,0.0,-22.925,-70.237,2007,11,0
7.7,8,7.0,995.0,0.0,-22.247,-69.89,2007,11,0
6.8,3,5.0,713.0,0.0,-3.899,101.02,2007,10,0
6.8,4,7.0,744.0,0.0,-44.796,167.553,2007,10,0
6.8,4,5.0,713.0,0.0,-4.99,153.5,2007,9,0
6.7,3,5.0,696.0,0.0,-1.999,100.141,2007,9,0
7.0,4,7.0,768.0,0.0,-2.13,99.627,2007,9,0
6.5,0,5.0,650.0,0.0,-1.689,99.668,2007,9,0
7.9,8,7.0,1133.0,0.0,-2.625,100.841,2007,9,0
7.8,7,8.0,1152.0,0.0,-2.52,100.139,2007,9,0
6.8,5,6.0,747.0,0.0,2.966,-77.963,2007,9,0
8.0,9,8.0,1385.0,0.0,-13.386,-76.603,2007,8,0
7.5,0,5.0,865.0,0.0,-5.859,107.419,2007,8,0
7.2,7,7.0,803.0,0.0,-15.595,167.68,2007,8,0
6.9,3,5.0,734.0,0.0,2.872,127.464,2007,7,0
6.6,8,8.0,831.0,0.0,37.535,138.446,2007,7,0
6.9,0,7.0,732.0,0.0,-7.306,155.741,2007,4,0
6.6,0,7.0,670.0,0.0,-7.169,155.777,2007,4,0
8.1,9,8.0,1025.0,0.0,-8.466,157.043,2007,4,0
6.7,7,8.0,782.0,0.0,37.336,136.588,2007,3,0
6.7,0,6.0,691.0,0.0,-1.034,126.976,2007,2,0
7.5,6,5.0,874.0,0.0,1.065,126.282,2007,1,0
6.9,6,7.0,798.0,0.0,21.974,120.493,2006,12,0
7.1,8,7.0,1023.0,0.0,21.799,120.547,2006,12,0
6.7,5,6.0,732.0,0.0,-13.457,-76.677,2006,10,0
6.7,5,6.0,692.0,0.0,-5.881,150.982,2006,10,0
6.7,8,9.0,1481.0,0.0,19.877,-155.935,2006,10,0
6.8,0,6.0,711.0,0.0,-6.759,155.512,2006,9,0
6.5,0,6.0,650.0,0.0,51.148,157.522,2006,8,0
6.8,5,5.0,713.0,0.0,-15.798,167.789,2006,8,0
6.5,0,6.0,650.0,0.0,-5.724,151.133,2006,5,0
6.6,0,7.0,670.0,0.0,60.772,165.743,2006,5,0
6.5,7,7.0,653.0,0.0,-27.211,-71.056,2006,4,0
6.7,6,7.0,696.0,0.0,-27.017,-71.022,2006,4,0
6.6,0,8.0,670.0,0.0,60.491,167.516,2006,4,0
7.6,0,8.0,889.0,0.0,60.949,167.089,2006,4,0
6.7,0,7.0,691.0,0.0,-3.595,127.214,2006,3,0
7.0,5,9.0,891.0,0.0,-21.324,33.583,2006,2,0
6.7,7,6.0,934.0,0.0,36.311,23.212,2006,1,0
6.5,6,5.0,721.0,0.0,36.357,71.093,2005,12,0
6.8,5,7.0,744.0,0.0,-6.224,29.83,2005,12,0
6.5,3,6.0,651.0,0.0,2.164,96.786,2005,11,0
6.8,0,6.0,711.0,0.0,-22.361,-67.895,2005,11,0
7.6,9,9.0,1267.0,0.0,34.539,73.588,2005,10,0
6.6,0,6.0,670.0,0.0,-5.437,151.84,2005,9,0
7.5,8,7.0,1018.0,0.0,-5.678,-76.398,2005,9,0
7.6,5,7.0,891.0,0.0,-4.539,153.474,2005,9,0
6.7,3,6.0,693.0,0.0,1.819,97.082,2005,7,0
7.8,8,7.0,1020.0,0.0,-19.987,-69.197,2005,6,0
6.9,5,7.0,740.0,0.0,1.989,97.041,2005,5,0
6.7,6,5.0,731.0,0.0,0.587,98.459,2005,5,0
6.5,3,6.0,657.0,0.0,-1.714,99.779,2005,4,0
6.7,5,6.0,717.0,0.0,-1.644,99.607,2005,4,0
6.6,8,7.0,805.0,0.0,33.807,130.131,2005,3,0
7.1,0,5.0,776.0,0.0,-6.527,129.933,2005,3,0
6.8,0,6.0,711.0,0.0,2.908,95.592,2005,2,0
